id_partL1,num_level,id_part,num_itemMatCost,num_itemCost,num_inv,num_poCost
110T2857P0001,1,110T2857P0001,9791.0,0.0,5631.7832,0.0
119T4932P0002,1,119T4932P0002,59520.0,0.0,34235.904,0.0
113T9062P006,1,113T9062P006,40201.0,0.0,23123.6152,40402.01
113T1918P0001,1,113T1918P0001,9544.0,0.0,5489.7088,0.0
111L4183G001,1,111L4183G001,25220.0,0.0,14506.544,0.0
111L4970G001,1,111L4970G001,25284.3333,0.0,14543.548509999999,0.0
111L5036G001,1,111L5036G001,26675.0,0.0,15343.46,0.0
113T2414P0001,1,113T2414P0001,1300.0,0.0,747.76,0.0
112L1266G0196,1,112L1266G0196,15908.0,0.0,9150.2816,0.0
112T7022P0006,1,112T7022P0006,7110.0,0.0,4089.672,0.0
113T6461G0001,1,113T6461G0001,33210.0,0.0,19102.392,0.0
109T2716P005,1,109T2716P005,7575.0,0.0,4357.14,9069.12
109T5370P001,1,109T5370P001,18926.0,0.0,10886.2352,0.0
107T8243P001,1,107T8243P001,1403.0,0.0,807.0056,0.0
398A1183P214,1,398A1183P214,14290.0,0.0,14384.313999999998,14492.1
372A4840P024,1,372A4840P024,19653.6364,0.0,19783.3504,19588.96657
372A4839P216,1,372A4839P216,37832.0,0.0,38081.6912,43340.22935
389A4104P002,1,389A4104P002,6816.606,0.0,6861.5956,7136.1321
377A7054P103,1,377A7054P103,4982.79,0.0,5015.6764,8851.534225
108L4955G001,1,108L4955G001,2660.0,0.0,2677.5559999999996,0.0
392A5501P001,1,392A5501P001,13813.0,0.0,13904.1658,13882.07
172A5470P001,1,172A5470P001,7659.2,0.0,7709.7507,1172.553533
104T8936P0107,1,104T8936P0107,4714.22,0.0,3796.2671200000004,7552.66
377A4065P109,1,377A4065P109,27529.0,0.0,27710.6914,24644.99731
362A4091P006,1,362A4091P006,7110.0,0.0,7156.9259999999995,7809.1766
101T1005P002,1,101T1005P002,14905.46,0.0,15003.836000000001,14979.9891
100T7641P002,1,100T7641P002,6940.0,0.0,6985.804,9105.44547
389A7841P006,1,389A7841P006,6175.0,0.0,6215.755,0.0
362A4091P711,1,362A4091P711,15812.0,0.0,15916.3592,20421.6
151D8452G010,1,151D8452G010,0.0,0.0,0.0,0.0
117E3000G001,1,117E3000G001,14651.726669999998,0.0,14724.9853,0.0
142D4909G001,1,142D4909G001,0.0,0.0,0.0,0.0
356B2202G017,1,356B2202G017,0.0,0.0,0.0,0.0
129E8036G014,1,129E8036G014,0.0,0.0,0.0,0.0
108T2747G0001,1,108T2747G0001,0.0,0.0,0.0,0.0
188D8714G001,1,188D8714G001,1275.6,0.0,1281.978,0.0
224B9190G002,1,224B9190G002,1.003333333,0.0,1.008366667,0.0
112T5600G0003,1,112T5600G0003,0.0,0.0,0.0,0.0
108T2583G0001,1,108T2583G0001,0.0,0.0,0.0,0.0
106L1045G003,1,106L1045G003,0.0,0.0,0.0,0.0
139E6258G001,1,139E6258G001,0.0,0.0,0.0,0.0
119E2505G015,1,119E2505G015,243120.9233,0.0,209431.3097,0.0
143D7324G004,1,143D7324G004,0.0,0.0,0.0,0.0
131E5123G001,1,131E5123G001,0.0,0.0,0.0,0.0
107T0953G0004,1,107T0953G0004,0.0,0.0,0.0,0.0
116E4203G001,1,116E4203G001,0.0,0.0,0.0,0.0
100T3607G0005,1,100T3607G0005,0.0,0.0,0.0,0.0
119E3058G003,1,119E3058G003,0.0,0.0,0.0,0.0
112T7518G0001,1,112T7518G0001,0.0,0.0,0.0,0.0
112T9875G0015,1,112T9875G0015,36314.4,0.0,18277.0375,0.0
118T0860P001,1,118T0860P001,9.579,0.0,5.509828571,0.0
114T6934P001,1,114T6934P001,2525.4,0.0,1452.610057,0.0
118T9582P001,1,118T9582P001,1223.3,0.0,703.6421713999999,0.0
117T5878P0001,1,117T5878P0001,1076.0371,0.0,618.9365713999999,3501.12
117T5159G0002,1,117T5159G0002,6435.0,0.0,3701.4120000000003,0.0
389A4104P001,1,389A4104P001,5398.47,0.0,5434.0999,5711.01
119E3467G002,1,119E3467G002,15970.0,0.0,16049.85,0.0
119E3467G002,1,119E3467G002,3498.0,0.0,3521.0868,0.0
398A5548G0001,1,398A5548G0001,3340.0,0.0,1921.168,0.0
144E8723G016,1,144E8723G016,6954.871,0.0,5600.61856,0.0
146E2580G014,1,146E2580G014,11742.57,0.0,11820.071000000002,20073.2
146E2580G014,1,146E2580G014,0.0,0.0,0.0,20073.2
146E2580G001,1,146E2580G001,11867.86,0.0,11946.1879,0.0
146E2580G001,1,146E2580G001,0.0,0.0,0.0,0.0
106L1971G033,1,106L1971G033,404.77,0.0,407.4415,0.0
