tParent,ebomL1,itemMaterialCost,bomQty,totalCost
367A4123G010,241C2882G014,137018.40133333625,6776.0,232893.74213333626
367A4123G010,389A4104P002,54532.848,8.0,54532.848
367A4199G002,112E1499G003,5703.8375666659995,252.0,14436.306033333001
367A4244G001,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A4244G002,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A4274G002,143E3890G001,2358.1632000000004,334.0,3516.29926667
367A4275G006,100T6852G011,17582171.722400058,2832.0,17638453.640799966
367A4275G006,101T7359G026,42352345.41559983,20324.09999999997,44513989.54373515
367A4275G007,100T8376G011,559438.4969000001,806.0,1139486.1441
367A4275G007,111L4970G001,503925.833,50.0,503925.833
367A4275G007,114T3162G0012,1695231.960900003,2166.0,3007838.6873666905
367A4275G007,115T2690G0001,526310.6173,891.096,531204.142
367A4275G007,115T2726G0001,322034.33619999996,316.0,324015.8867
367A4275G007,119T0270G0001,54748.86389999999,72.0,54748.86389999999
367A4275G007,231D2651G003,22683.747933334,171.0,25496.56386667
367A4275G007,372A4840P024,157229.0912,8.0,157229.0912
367A4279G001,324A3989G002,80286.580166667,1214.50001,102255.00628194
367A4279G002,224B9190G002,4.17,9.0,26.336666669
367A4279G002,324A3989G002,80286.580166667,1214.50001,102255.00628194
367A4301G003,143E4564G002,1480.116706668,1757.0,12772.552400278
367A4301G004,143E7303G005,4516001.343799996,5546.699999999999,5191084.995245079
367A4306G001,224B9190G001,3.166666667,5.0,12.666666668
367A4352G006,101T1327G001,101299.58220000101,300.0,216236.18340003098
367A4352G006,101T2065G001,20201.889133333,240.09089999999998,33079.504233333006
367A4352G006,101T2521G001,11169.613133333,196.07406,11741.847666665999
367A4352G008,101T2065G001,40403.77826666599,480.18179999999995,66159.008466666
367A4352G008,101T2521G001,22339.226266665995,392.14812,23483.695333331998
367A4352G008,105T6846G0001,1951.7048000000004,74.0,5947.164799999999
367A4352G008,119E2094G035,335664.39413333184,1128.12,385704.4734666018
367A4359G001,224B9190G001,3.166666667,5.0,12.666666668
367A4359G001,324A3989G002,80286.580166667,1214.50001,102255.00628194
367A4385G013,101T4422G004,43696.833599999976,1692.0,115618.33546665806
367A4385G013,119T9593G0001,56712.0,50.0,97244.0
367A4385G013,204D3242G003,2142348.756079971,2926.0,2144614.528399977
367A4385G014,101T4422G004,21848.416799999995,846.0,57809.167733328984
367A4385G014,119T9593G0001,28356.0,25.0,48622.0
367A4443G009,103T9204G0001,64.9556,68.0,116.835766667
367A4443G012,101T2065G001,60605.66739999899,720.2727,99238.51269999894
367A4452G001,112E1499G003,5703.8375666659995,252.0,14436.306033333001
367A4452G001,196D7620G001,8057.602800001,45.0,8390.900800006
367A4452G001,357A1826G018,7290.331466666999,252.0,9666.264300064
367A4452G003,116E4411G011,37215.44556666601,79.0,38060.669633333004
367A4479G002,224B9190G001,3.166666667,5.0,12.666666668
367A4479G002,227C5789G001,774.8038999999999,4.5,775.2408499999999
367A4492G004,224B9190G001,6.333333334,10.0,25.333333336
367A4492G004,238B7759G005,2017.830866666,26.0,2557.323466664
367A4496G004,143E4239G003,4223.752733334,770.0,10016.072266667996
367A4496G005,103T9204G0001,129.9112,135.0,192.671533334
367A4496G006,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A4496G007,356A4348P018,44177.474,8.0,44177.474
367A4496G007,357A1826G043,17702.922133335993,736.0,22040.596000200036
367A4496G009,117E8212G002,454068.3261666939,4970.0,583428.6563339893
367A4497G001,116E4411G011,37215.44556666601,79.0,38060.669633333004
367A4497G002,116E4411G011,37215.44556666601,79.0,38060.669633333004
367A4497G003,116E4411G011,37215.44556666601,79.0,38060.669633333004
367A4497G004,116E4411G011,37215.44556666601,79.0,38060.669633333004
367A4504G001,188C9517G015,59907.113766665985,517.0,765270.1208999861
367A4504G002,188C9517G015,59907.113766665985,517.0,765270.1208999861
367A4519G006,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A4551G001,196D7620G001,8057.602800001,45.0,8390.900800006
367A4571G003,101T1327G001,101299.58220000101,300.0,216236.18340003098
367A4571G003,105T5427G0004,1075690.771466677,7478.180040000001,1263126.9428400204
367A4571G003,112T3120G0001,640342.0737999979,214.00002,677792.43220001
367A4592G001,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A4605G001,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A4611G001,361A2225G025,14789.445900000002,163.69999999999993,38074.783633336985
367A4611G002,361A2225G025,14789.445900000002,163.69999999999993,38074.783633336985
367A4611G003,361A2225G025,14789.445900000002,163.69999999999993,38074.783633336985
367A4612G001,112E1499G003,5703.8375666659995,252.0,14436.306033333001
367A4633G002,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A4648G007,143E3937G001,215.011500001,360.0,2209.576533343
367A4677G001,196D7620G001,8057.602800001,45.0,8390.900800006
367A4682G003,101T2065G001,80807.5565333319,960.3636000000001,132318.01693333202
367A4682G003,101T2521G001,44678.45253333198,784.29624,46967.390666664
367A4682G003,119E2094G035,671328.7882666646,2256.24,771408.9469332042
367A4682G003,146E2580G014,78593.63680000005,264.0,82924.99520000801
367A4682G003,811L1393G007,300057.6753333279,206.00004,301160.923466636
367A4695G004,143E4239G003,4223.752733334,770.0,10016.072266667996
367A4712G003,137E2242G002,14588.851866668001,341.0,36260.33183333899
367A4713G004,143E3076G001,167226.6495999959,2355.3333099999995,315632.64453311206
367A4713G004,711L2014G005,7308784.932499987,14666.605000000036,8562256.107632585
367A4713G004,711L2014G100,4025738.3611666723,605.0,4068293.433500052
367A4713G005,101T1005P002,44716.38,3.0,44716.38
367A4713G005,124T3549G0001,10215.905819994,2904.0,17739.950960082002
367A4713G005,143E3076G001,836133.2479999819,11776.666550000013,1578163.2226655642
367A4713G005,711L2014G005,7308784.932499987,14666.605000000036,8562256.107632585
367A4713G005,711L2014G100,4025738.3611666723,605.0,4068293.433500052
367A4713G006,101T1005P002,29810.92,2.0,29810.92
367A4713G006,124T3549G0001,6810.603879996002,1936.0,11826.633973388012
367A4713G006,131E5123G001,112599.64859999697,189.20448,182058.39499996498
367A4713G006,143E3076G001,1003359.897599979,14131.999860000016,1893795.867198678
367A4713G006,711L2014G005,8770541.918999985,17599.92600000002,10274707.329159081
367A4713G006,711L2014G100,4830886.033400008,726.0,4881952.120200058
367A4740G001,116E4203G001,10247.081133334,178.03571,20031.741133365
367A4763G003,241C2820G001,41181.75409999999,816.0,73179.23066666501
367A4763G003,801L0191G050,30797.731533334998,57.000159999999994,30865.640200002
367A4763G004,141E3649G002,4172.726466665999,287.0,5725.464666671999
367A4763G005,110T9612P0001,1195.84,1.0,1195.84
367A4788G004,213B1147G001,49691.25,18.0,49691.25
367A4788G004,219B6374G002,4693.536899999998,387.0,39118.5369
367A4788G004,224B9190G001,28.500000003000004,45.0,114.00000001200002
367A4788G004,357A1826G049,28821.687899994016,1674.0,41235.45660039601
367A4792G001,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A4799G001,104L4736G003,6266.3940666670005,204.0,8078.146666601
367A4815G001,196D7620G001,8057.602800001,45.0,8390.900800006
367A4824G001,119E1899G001,75063.31039999999,4.0,75063.31039999999
367A4869G005,114T8044G001,31637.468333331988,240.11999999999995,195432.50606667405
367A4869G005,116T9018G0003,13530.467366666999,727.0,21950.163133338
367A4869G005,117T7022G0001,8688.166366665997,199.0,9507.862699997002
367A4869G005,118T1601G0001,399.159599999,55.0,1678.409599996
367A4869G005,204D3242G003,2142348.756079971,2926.0,2144614.528399977
367A4873G003,100T7641P002,20820.0,6.0,20820.0
367A4873G003,224B9190G002,12.51,27.0,79.010000007
367A4873G003,389A4104P001,16195.41,3.0,16195.41
367A4873G004,100T7641P002,20820.0,6.0,20820.0
367A4873G004,224B9190G002,12.51,27.0,79.010000007
367A4873G004,389A4104P001,16195.41,3.0,16195.41
367A4881G006,106T3531G0001,411826.96783333074,3207.573990000002,578780.4785333308
367A4887G003,146E4756G016,152734.70919999998,193.07,153661.67589999997
367A4887G003,146E4860G002,69186.16,230.0,69247.32
367A4887G004,136E6618G005,103384.59886667006,1050.884,119354.94533335403
367A4899G004,143E4239G003,2111.876366667,385.0,5008.036133334
367A4899G006,101T2065G001,121211.33479999784,1440.5454000000002,198477.02539999812
367A4899G006,101T2521G001,67017.67879999806,1176.44436,70451.08599999602
367A4899G006,101T5789G001,68814.10733333198,424.0,293425.499066676
367A4899G006,117E8212G002,90813.66523333908,994.0,116685.73126679708
367A4899G006,811L1393G007,450086.5129999918,309.00006,451741.38519995386
367A4927G003,101T9158G002,268110.02296666795,695.98,402905.5322806951
367A4927G003,102T8803G002,265369.552366667,452.0,447393.27193334315
367A4927G003,114T8044G001,15818.734166666,120.05999999999999,97716.25303333701
367A4927G003,314B7170G025,219922.963433334,555.0,439359.15606672806
367A4940G002,219B6374G001,694.4041,43.0,7458.7041
367A4940G004,146E2580G002,65143.45869999909,147.0,69240.04830000302
367A4940G004,287A7181G057,68000.97250000497,817.41,78699.54022506521
367A4940G005,146E2580G002,65143.45869999909,147.0,69240.04830000302
367A4940G005,146E4756G016,458204.1276000006,579.21,460985.02770000044
367A4940G005,146E4860G002,69186.16,230.0,69247.32
367A4940G005,287A7181G057,68000.97250000497,817.41,78699.54022506521
367A4945G001,219B6374G001,694.4041,43.0,7458.7041
367A4979G009,100T4144G002,1677.2159999999997,1653.0,2367.0000004500002
367A4979G009,100T8376G011,1678315.4907,2418.0,3418458.4323000005
367A4979G009,108L4955G001,9725.000000001,15.0,14960.000000004
367A4979G009,111T3375G0007,140009.46879999898,1194.0,1153299.4931999666
367A4979G009,116E5252G008,1504517.9535999987,2220.0,1551714.9405000345
367A4979G009,119T2483G0001,3712.844099999999,279.0,4964.942800007998
367A4979G009,137E2242G002,43766.555600004,1023.0,108780.99550001703
367A4979G009,143E4615G007,1986350.7603999984,3009.0,2707006.6361000226
367A4979G009,146E1405G002,66869.25359999997,507.8280000000002,71384.59739996697
367A4979G009,231D2651G003,68051.24380000199,513.0,76489.69160001
367A4979G009,241C2882G014,51381.90050000098,2541.0,87335.15330000098
367A4979G009,IS420UCSBH4A,4161.772666666,3112.0,4166.439333328
367A4979G010,137E2242G002,29177.703733336,682.0,72520.66366667801
367A4979G011,100T4144G002,3913.504000000001,3857.0,5523.000001049999
367A4979G011,100T8376G011,5034946.4721,7254.0,10255375.29689999
367A4979G011,108L4955G001,29175.000000002998,45.0,44880.000000012
367A4979G011,116E5252G008,4513553.860799998,6660.0,4655144.821500131
367A4979G011,119T2483G0001,11138.532300000017,837.0,14894.828400024007
367A4979G011,143E4615G007,5959052.281199975,9027.0,8121019.908300101
367A4979G011,146E1405G002,200607.76079999976,1523.4839999999904,214153.79219990128
367A4979G011,231D2651G003,204153.73140000599,1539.0,229469.07480003007
367A4979G011,241C2882G014,154145.70150000328,7623.0,262005.4599000033
367A4987G003,143E4239G003,4223.752733334,770.0,10016.072266667996
367A4988G001,224B9190G001,3.166666667,5.0,12.666666668
