id_baseReq,desc_frameFam,id_task,id_partL1,num_partCount,id_tparent,desc_projectState,id_req,id_frame,desc_status,num_stockInd,num_totLead,date_contractStart,date_issueFMI
CR3L,7/1FA,1022,108L4955G001,9,367A6836G009,Complete,CR3L,7FA.03,Active,0,75.94285714,9/15/2014,3/31/2015
CR3L,7/1FA,1022,108L4955G001,9,367A6836G009,Complete,CR3L,7FA.03,Active,0,75.94285714,9/15/2014,3/31/2015
CR3L,7/1FA,1105,100T4144G002,7,367A4979G009,Complete,CR3L,7FA.03,Active,0,27.42857143,8/19/2015,12/22/2015
CR3L,7/1FA,1105,100T4144G002,7,367A4979G009,Complete,CR3L,7FA.03,Active,0,27.42857143,8/19/2015,12/22/2015
CR3L,7/1FA,1105,100T4144G002,7,367A4979G011,Complete,CR3L,7FA.03,Active,0,27.42857143,2/12/2016,1/11/2017
CR3L,7/1FA,1105,100T4144G002,7,367A6836G007,Complete,CR3L,7FA.03,Active,0,27.42857143,1/23/2014,4/1/2015
CR3L,7/1FA,1105,100T4144G002,7,367A6836G007,Complete,CR3L,7FA.03,Active,0,27.42857143,1/23/2014,4/1/2015
CR3L,7/1FA,1105,100T4144G002,7,367A6836G009,Complete,CR3L,7FA.03,Active,0,27.42857143,9/15/2014,3/31/2015
CR3L,7/1FA,1105,100T4144G002,7,367A6836G009,Complete,CR3L,7FA.03,Active,0,27.42857143,9/15/2014,3/31/2015
CR3L,7/1FA,1159,112T7200G0002,1,367A5786G009,Complete,CR3L,7FA.04,Active,0,56.0,9/4/2014,3/23/2015
CR3L,7/1FA,1302,101T7359G001,2,367A7392G001,Complete,CR3L,7FA.04,Active,0,262.75,7/2/2013,8/4/2014
CR3L,7/1FA,1302,101T7359G001,2,367A7392G002,Complete,CR3L,7FA.04,Active,0,262.75,9/23/2013,8/4/2014
CR3L,7/1FA,1303,101T7356G001,2,367A7392G001,Complete,CR3L,7FA.04,Active,0,194.0,7/2/2013,8/4/2014
CR3L,7/1FA,1303,101T7356G001,2,367A7392G002,Complete,CR3L,7FA.04,Active,0,194.0,9/23/2013,8/4/2014
CR3L,7/1FA,1303,101T7359G001,2,367A7392G001,Complete,CR3L,7FA.04,Active,0,194.0,7/2/2013,8/4/2014
CR3L,7/1FA,1303,101T7359G001,2,367A7392G002,Complete,CR3L,7FA.04,Active,0,194.0,9/23/2013,8/4/2014
CR3L,7/1FA,1305,100T8379G012,2,367A7392G001,Complete,CR3L,7FA.04,Pre-Active,0,110.0,7/2/2013,8/4/2014
CR3L,7/1FA,1305,100T8379G012,2,367A7392G002,Complete,CR3L,7FA.04,Pre-Active,0,110.0,9/23/2013,8/4/2014
CR3L,7/1FA,1305,101T7359G001,2,367A7392G001,Complete,CR3L,7FA.04,Pre-Active,0,110.0,7/2/2013,8/4/2014
CR3L,7/1FA,1305,101T7359G001,2,367A7392G002,Complete,CR3L,7FA.04,Pre-Active,0,110.0,9/23/2013,8/4/2014
CR3L,7/1FA,1331,100T8376G011,3,367A4979G009,Complete,CR3L,7FA.03,Active,0,160.4,8/19/2015,12/22/2015
CR3L,7/1FA,1331,100T8376G011,3,367A4979G009,Complete,CR3L,7FA.03,Active,0,160.4,8/19/2015,12/22/2015
CR3L,7/1FA,1331,100T8376G011,3,367A6836G009,Complete,CR3L,7FA.03,Active,0,160.4,9/15/2014,3/31/2015
CR3L,7/1FA,1332,104T5622G0002,1,367A6018G005,Complete,CR3L,7FA.03,Active,0,277.5,11/5/2015,10/19/2016
CR3L,7/1FA,1333,100T8376G011,3,367A4979G011,Complete,CR3L,7FA.03,Active,0,160.4,2/12/2016,1/11/2017
CR3L,7/1FA,1333,100T8376G011,3,367A4979G011,Complete,CR3L,7FA.03,Active,0,160.4,2/12/2016,1/11/2017
CR3L,7/1FA,1333,100T8376G011,3,367A4979G011,Complete,CR3L,7FA.03,Active,0,160.4,2/12/2016,1/11/2017
CR3L,7/1FA,1401,116E5252G008,6,367A4979G009,Complete,CR3L,7FA.03,Active,0,185.5,8/19/2015,12/22/2015
CR3L,7/1FA,1401,116E5252G008,6,367A4979G009,Complete,CR3L,7FA.03,Active,0,185.5,8/19/2015,12/22/2015
CR3L,7/1FA,1401,116E5252G008,6,367A4979G011,Complete,CR3L,7FA.03,Active,0,185.5,2/12/2016,1/11/2017
CR3L,7/1FA,1401,116E5252G008,6,367A4979G011,Complete,CR3L,7FA.03,Active,0,185.5,2/12/2016,1/11/2017
CR3L,7/1FA,1401,116E5252G008,6,367A4979G011,Complete,CR3L,7FA.03,Active,0,185.5,2/12/2016,1/11/2017
CR3L,7/1FA,1401,116E5252G008,6,367A6836G007,Complete,CR3L,7FA.03,Active,0,185.5,1/23/2014,4/1/2015
CR3L,7/1FA,1402,143E4615G007,13,367A6980G005,Complete,CR3L,7FA.01,Active,0,133.25,3/20/2014,3/10/2016
CR3L,7/1FA,1402,143E4615G007,13,367A6980G006,Complete,CR3L,7FA.01,Active,0,133.25,3/20/2014,3/9/2016
CR3L,7/1FA,1402,143E4615G007,13,367A4979G009,Complete,CR3L,7FA.03,Active,0,133.25,8/19/2015,12/22/2015
CR3L,7/1FA,1402,143E4615G007,13,367A4979G009,Complete,CR3L,7FA.03,Active,0,133.25,8/19/2015,12/22/2015
CR3L,7/1FA,1402,143E4615G007,13,367A6971G017,Complete,CR3L,7FA.03,Active,0,133.25,10/2/2014,1/20/2017
CR3L,7/1FA,1402,143E4615G007,13,367A4979G011,Complete,CR3L,7FA.03,Active,0,133.25,2/12/2016,1/11/2017
CR3L,7/1FA,1402,143E4615G007,13,367A4979G011,Complete,CR3L,7FA.03,Active,0,133.25,2/12/2016,1/11/2017
CR3L,7/1FA,1402,143E4615G007,13,367A4979G011,Complete,CR3L,7FA.03,Active,0,133.25,2/12/2016,1/11/2017
CR3L,7/1FA,1402,143E4615G007,13,367A6836G007,Complete,CR3L,7FA.03,Active,0,133.25,1/23/2014,4/1/2015
CR3L,7/1FA,1402,143E4615G007,13,367A6836G009,Complete,CR3L,7FA.03,Active,0,133.25,9/15/2014,3/31/2015
CR3L,7/1FA,1402,143E4615G007,13,367A6836G009,Complete,CR3L,7FA.03,Active,0,133.25,9/15/2014,3/31/2015
CR3L,7/1FA,1402,143E4615G007,13,367A5786G009,Complete,CR3L,7FA.04,Active,0,133.25,9/4/2014,3/23/2015
CR3L,7/1FA,1402,143E4615G007,13,367A5786G009,Complete,CR3L,7FA.04,Active,0,133.25,9/4/2014,3/23/2015
CR3L,7/1FA,1403,231D2651G003,9,367A4979G009,Complete,CR3L,7FA.03,Active,0,61.0,8/19/2015,12/22/2015
CR3L,7/1FA,1403,231D2651G003,9,367A4979G009,Complete,CR3L,7FA.03,Active,0,61.0,8/19/2015,12/22/2015
